ID," City, State",Bank Name,Press Release (PR),Closing Date,Approx. Asset (Millions),Approx. Deposit (Millions),Acquirer & Transaction
307," Mesa, AZ",Towne Bank of Arizona,PR-108-2010,7-May-10,120.2,113.2,"Commerce Bank of Arizona, Mesa, AZ has agreed to assume all deposits, excluding certain brokered deposits."
308," Champlin, MN",Access Bank,PR-107-2010,7-May-10,32,32,"PrinsBank, Prinsburg, MN has agreed to assume all deposits."
309," Bonifay, FL",The Bank of Bonifay,PR-106-2010,7-May-10,242.9,230.2,"First Federal Bank of Florida, Lake City, FL has agreed to assume all deposits."
310," Everett, WA",Frontier Bank,PR-101-2010,30-Apr-10,3500,3130,"Union Bank, National Association, San Francisco, CA has agreed to assume all deposits, excluding certain brokered deposits."
311," Butler, MO",BC National Banks,PR-100-2010,30-Apr-10,67.2,54.9,"Community First Bank, Butler, MO has agreed to assume all deposits."
312," Creve Coeur, MO",Champion Bank,PR-099-2010,30-Apr-10,187.3,153.8,"BankLiberty, Liberty, PR has agreed to assume all deposits, excluding certain brokered deposits."
313," Port Huron, MI",CF Bancorp,PR-098-2010,30-Apr-10,1650,1430,"First Michigan Bank, Troy, MI has agreed to assume all deposits, excluding certain brokered deposits."
314," Mayaguez, PR",Westernbank Puerto Rico,PR-097-2010,30-Apr-10,11940,8620,"Banco Popular de Puerto Rico, San Juan, PR has agreed to assume all deposits, excluding certain brokered deposits."
315," Hato Rey, PR",R-G Premier Bank of Puerto Rico,PR-096-2010,30-Apr-10,5920,4250,"Scotiabank de Puerto Rico, San Juan, PR has agreed to assume all deposits, excluding certain brokered deposits."
316," San Juan, PR",Eurobank,PR-095-2010,30-Apr-10,2560,1970,"Oriental Bank and Trust, San Juan, PR has agreed to assume all deposits, excluding certain brokered deposits."
317," Naperville, IL",Wheatland Bank,PR-090-2010,23-Apr-10,437.2,438.5,"Wheaton Bank & Trust, Wheaton, IL has agreed to assume all deposits, excluding certain brokered deposits."
318," Peotone, IL",Peotone Bank and Trust Company,PR-089-2010,23-Apr-10,130.2,127,"First Midwest Bank, Itasca, IL has agreed to assume all deposits, excluding certain brokered deposits."
319," Chicago, IL",Lincoln Park Savings Bank,PR-088-2010,23-Apr-10,199.9,171.5,"Northbrook Bank and Trust Company, Northbrook, IL has agreed to assume all deposits."
320," Chicago, IL",New Century Bank,PR-087-2010,23-Apr-10,485.6,492,"MB Financial Bank, National Association, Chicago, IL has agreed to assume all deposits."
321," Chicago, IL",Citizens Bank & Trust Company of Chicago,PR-086-2010,23-Apr-10,77.3,74.5,"Republic Bank of Chicago, Oak Brook, IL has agreed to assume all deposits."
322," Chicago, IL",Broadway Bank,PR-085-2010,23-Apr-10,1200,1100,"MB Financial Bank, National Association, Chicago, IL has agreed to assume all deposits, excluding certain brokered deposits."
